PropertyID,PropertyType,TenureType,GFASqm,Region,AgeOfPropertyYears,MRTProximity,TenantMix,BuildingGrade,GreenMarkCertified,FloorToCeilingHeightM,ExistingLeaseTermRemainingYears,OccupancyRatePct,MonthlyRentPerSqmSGD,NOI_SGD,CapRatePct,ValuationSGD,PricePerSqmSGD,ValuationMethodology,ValuationDate
SG-COM-3QUBYI,Industrial/Warehouse,999-year Leasehold,1052.3,Outside Central Region,19,>800m,Light manufacturing,Basic,False,12.0,1,84.4,12.54,106917.99,6.77,1579291.0,1500.8,Comparable Sales Approach (cross-checked with Income Capitalization),2025-01-22T00:31:54.513364+08:00
SG-COM-Q9I73B,Retail/Shop,Freehold,291.1,Outside Central Region,16,>800m,Convenience/neighbourhood retail,Basic,False,2.7,9,77.2,27.89,60169.89,5.59,1076384.0,3697.64,Income Capitalization Approach,2026-05-24T01:27:31.513364+08:00
SG-COM-N9Q27A,Industrial/Warehouse,99-year Leasehold,10815.6,Rest of Central Region,5,400m-800m,Data centre/specialized use,Standard,True,6.4,2,72.8,18.69,1412740.94,6.66,21212326.0,1961.27,Comparable Sales Approach (cross-checked with Income Capitalization),2025-07-09T08:24:39.513364+08:00
SG-COM-06U8ZW,Industrial/Warehouse,99-year Leasehold,1658.0,Outside Central Region,27,400m-800m,Data centre/specialized use,Prime,False,9.5,10,78.3,16.62,207132.64,7.42,2791545.0,1683.68,Comparable Sales Approach (cross-checked with Income Capitalization),2025-01-24T18:32:18.513364+08:00
SG-COM-E24LFU,Office,60-year Leasehold,2924.9,Rest of Central Region,19,Within 400m,Single major tenant (MNC),Grade C,True,3.1,4,95.7,47.64,1280164.99,4.5,28448111.0,9726.18,Income Capitalization Approach,2025-07-11T17:20:16.513364+08:00
SG-COM-703UPK,Business Park/Mixed-Use,99-year Leasehold,3663.4,Core Central Region,5,Within 400m,Corporate campus (single user),Prime,True,4.5,10,90.8,89.59,2860888.68,4.6,62193232.0,16976.92,Income Capitalization Approach,2025-08-27T10:26:15.513364+08:00
SG-COM-3X0494,Industrial/Warehouse,60-year Leasehold,4248.2,Rest of Central Region,18,>800m,Light manufacturing,Standard,False,9.4,9,86.0,24.89,872970.43,6.73,12971329.0,3053.37,Comparable Sales Approach (cross-checked with Income Capitalization),2025-11-03T10:01:53.513364+08:00
SG-COM-QEUQ7B,Industrial/Warehouse,60-year Leasehold,657.8,Outside Central Region,24,>800m,Data centre/specialized use,Prime,True,12.0,6,79.9,21.82,110094.75,6.64,1658053.0,2520.6,Comparable Sales Approach (cross-checked with Income Capitalization),2025-08-15T14:27:09.513364+08:00
SG-COM-4WCIC7,Office,Freehold,3637.9,Core Central Region,0,>800m,Multi-tenanted corporates,Grade A,True,2.6,7,93.7,122.75,4016826.57,3.74,107401780.0,29523.02,Income Capitalization Approach,2025-11-17T02:38:09.513364+08:00
SG-COM-XWSOG0,Retail/Shop,99-year Leasehold,611.0,Rest of Central Region,12,>800m,F&B anchor,Prime,False,3.5,10,87.7,87.72,451243.19,4.48,10072393.0,16485.09,Income Capitalization Approach,2026-05-10T07:00:23.513364+08:00
SG-COM-EH9D8D,Retail/Shop,99-year Leasehold,50.0,Outside Central Region,23,400m-800m,Convenience/neighbourhood retail,Basic,True,3.3,5,97.4,64.01,29925.96,5.8,515965.0,10319.3,Income Capitalization Approach,2026-05-20T10:21:08.513364+08:00
SG-COM-RUE58I,Business Park/Mixed-Use,Freehold,2029.0,Rest of Central Region,15,400m-800m,Corporate campus (single user),Standard,True,4.2,3,97.1,51.64,976694.5,4.96,19691421.0,9704.99,Income Capitalization Approach,2026-08-21T21:03:10.513364+08:00
SG-COM-H1NB1M,Retail/Shop,99-year Leasehold,169.8,Core Central Region,29,400m-800m,F&B anchor,Standard,True,4.2,2,86.2,258.66,363450.66,3.88,9367285.0,55166.58,Income Capitalization Approach,2026-06-12T20:00:03.513364+08:00
SG-COM-OXU327,Industrial/Warehouse,99-year Leasehold,5271.9,Outside Central Region,22,>800m,Data centre/specialized use,Standard,False,10.0,7,82.9,14.05,589480.24,6.75,8733041.0,1656.53,Comparable Sales Approach (cross-checked with Income Capitalization),2025-03-01T19:14:39.513364+08:00
SG-COM-7WUQXC,Retail/Shop,99-year Leasehold,123.9,Outside Central Region,30,400m-800m,Fashion & lifestyle mix,Standard,False,3.4,7,90.2,42.1,45168.03,5.11,883914.0,7134.09,Income Capitalization Approach,2025-02-13T09:51:42.513364+08:00
SG-COM-OJU7RU,Office,99-year Leasehold,3814.7,Core Central Region,25,Within 400m,SME mixed tenants,Grade B,False,2.7,6,89.5,97.18,3185162.2,3.14,101438287.0,26591.42,Income Capitalization Approach,2025-10-23T13:37:13.513364+08:00
SG-COM-OMYI5E,Retail/Shop,99-year Leasehold,924.2,Outside Central Region,19,Within 400m,F&B anchor,Standard,True,3.2,6,77.9,60.28,416627.47,5.39,7729638.0,8363.6,Income Capitalization Approach,2025-06-02T12:55:53.513364+08:00
SG-COM-I1CON7,Office,99-year Leasehold,1412.5,Outside Central Region,37,>800m,SME mixed tenants,Grade B,False,2.6,4,80.3,42.43,462006.69,4.66,9914307.0,7018.98,Income Capitalization Approach,2025-02-28T14:03:59.513364+08:00
